CaseID,CaseName,TruthModel,Solver,StructuralMismatch,ObservationNoise,ProcessNoise,Scenario,ScenarioName,Model,ExoMode,ForecastArtifact,ResultSource,WindowDay,WindowDayIdx,HorizonIdx,ForecastDay,Truth_Rt,Median_Forecast,Error,SquaredError,AbsoluteError,WIS,RawScaleWIS,WISMedianComponent,WISDispersionComponent,WISUnderpredictionComponent,WISOverpredictionComponent,CoverageMean,CalibrationBiasMean,AbsoluteCalibrationErrorMean,IntervalWidthMean,IntervalMethod,IntervalStatus
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,1,50,1.4966032770697,1.49660327724401,1.74307457356804e-10,3.0383089690194e-20,1.74307457356804e-10,5.65993943071577e-11,5.65993943071577e-11,1.93674952618671e-11,3.3270524606937e-11,3.96137443835364e-12,0,0.75,-0.0375,0.2125,5.44586931106039e-10,closed_loop_monte_carlo,ok
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,2,51,1.49487796559399,1.49487796696292,1.36892941426936e-09,1.87396774125185e-18,1.36892941426936e-09,4.69560830958689e-10,4.69560830958689e-10,1.52103268252151e-10,3.02892472831612e-10,1.45650898749257e-11,0,0.75,-0.0375,0.2125,4.96140117878241e-09,closed_loop_monte_carlo,ok
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,3,52,1.49280316518971,1.49280317113668,5.94696492051128e-09,3.53663917657917e-17,5.94696492051128e-09,2.24470632575407e-09,2.24470632575407e-09,6.60773880056809e-10,1.58393244569726e-09,0,0,1,0.2125,0.2125,2.50539359814006e-08,closed_loop_monte_carlo,ok
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,4,53,1.49038133490722,1.49038135484917,1.99419500912512e-08,3.97681373441954e-16,1.99419500912512e-08,8.00551157833753e-09,8.00551157833753e-09,2.21577223236125e-09,5.78973934597629e-09,0,0,1,0.2125,0.2125,9.07079089063068e-08,closed_loop_monte_carlo,ok
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,5,54,1.48761534509619,1.48761540064245,5.55462571494303e-08,3.08538668331064e-15,5.55462571494303e-08,2.31169030683197e-08,2.31169030683197e-08,6.1718063499367e-09,1.6945096718383e-08,0,0,1,0.2125,0.2125,2.64947691341888e-07,closed_loop_monte_carlo,ok
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,6,55,1.48450847400365,1.48450859975997,1.25756315139114e-07,1.58146507973681e-14,1.25756315139114e-07,5.60990720198539e-08,5.60990720198539e-08,1.3972923904346e-08,4.21261481155079e-08,0,0,1,0.2125,0.2125,6.61556538439356e-07,closed_loop_monte_carlo,ok
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,7,56,1.48106440388863,1.48106468743948,2.83550853241721e-07,8.04010863741079e-14,2.83550853241721e-07,1.24126266142098e-07,1.24126266142098e-07,3.15056503601912e-08,9.2620615781907e-08,0,0,1,0.2125,0.2125,1.46132288597611e-06,closed_loop_monte_carlo,ok
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,8,57,1.47728721665793,1.47728780075441,5.84096481848206e-07,3.41168700107452e-13,5.84096481848206e-07,2.46537351024213e-07,2.46537351024213e-07,6.48996090942452e-08,1.81637741929968e-07,0,0,1,0.2125,0.2125,2.91546187025649e-06,closed_loop_monte_carlo,ok
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,9,58,1.47318138902826,1.47318245546019,1.06643192610001e-06,1.13727705300537e-12,1.06643192610001e-06,4.53962820120187e-07,4.53962820120187e-07,1.18492436233334e-07,3.35470383886853e-07,0,0,1,0.2125,0.2125,5.40087315242799e-06,closed_loop_monte_carlo,ok
process_noise,SIRS with stochastic process noise,SIRS,ssa,0,0,1,A1,Seasonal Forcing,AR,None,/home/kaahin/degree_project/hybrid-epidemic-forecasting/results/partB/forecasts/partB_process_noise_forecast_A1_AR_None.mat,forecast_results,49,50,10,59,1.46875178722047,1.46875361255858,1.82533810644259e-06,3.33185920283141e-12,1.82533810644259e-06,7.85579788553648e-07,7.85579788553648e-07,2.02815345160287e-07,5.8276444339336e-07,0,0,1,0.2125,0.2125,9.37447385812584e-06,closed_loop_monte_carlo,ok
